placeDcid,placeName,Date:Annual_Generation_Energy_Solar,Value:Annual_Generation_Energy_Solar,Source:Annual_Generation_Energy_Solar
country/AND,Andorra,2019,1200000,https://unstats.un.org/unsd/energystats/data/
country/ARM,Armenia,2018,19463000,https://unstats.un.org/unsd/energystats/data/
country/AUT,Austria,2018,1438000000,https://unstats.un.org/unsd/energystats/data/
country/AZE,Azerbaijan,2018,39300000,https://unstats.un.org/unsd/energystats/data/
country/BEL,Belgium,2018,3902000000,https://unstats.un.org/unsd/energystats/data/
country/BGR,Bulgaria,2018,1343000000,https://unstats.un.org/unsd/energystats/data/
country/BIH,Bosnia and Herzegovina,2018,21000000,https://unstats.un.org/unsd/energystats/data/
country/BLR,Belarus,2019,179000000,https://unstats.un.org/unsd/energystats/data/
country/CYP,Cyprus,2018,200000000,https://unstats.un.org/unsd/energystats/data/
country/CZE,Czech Republic,2018,2359000000,https://unstats.un.org/unsd/energystats/data/
country/DEU,Germany,2018,45784000000,https://unstats.un.org/unsd/energystats/data/
country/DNK,Denmark,2018,953000000,https://unstats.un.org/unsd/energystats/data/
country/ESP,Spain,2018,12744000000,https://unstats.un.org/unsd/energystats/data/
country/EST,Estonia,2018,31000000,https://unstats.un.org/unsd/energystats/data/
country/FIN,Finland,2018,90000000,https://unstats.un.org/unsd/energystats/data/
country/GBR,United Kingdom,2018,12858000000,https://unstats.un.org/unsd/energystats/data/
country/GLP,Guadeloupe,2016,93800000,https://unstats.un.org/unsd/energystats/data/
country/GRC,Greece,2018,3791000000,https://unstats.un.org/unsd/energystats/data/
country/GUF,French Guiana,2016,64000000,https://unstats.un.org/unsd/energystats/data/
country/HRV,Croatia,2018,75000000,https://unstats.un.org/unsd/energystats/data/
country/HUN,Hungary,2018,620000000,https://unstats.un.org/unsd/energystats/data/
country/KAZ,Kazakhstan,2018,116000000,https://unstats.un.org/unsd/energystats/data/
country/LIE,Liechtenstein,2019,26000000,https://unstats.un.org/unsd/energystats/data/
country/LTU,Lithuania,2018,87000000,https://unstats.un.org/unsd/energystats/data/
country/LUX,Luxembourg,2018,120000000,https://unstats.un.org/unsd/energystats/data/
country/LVA,Latvia,2018,1000000,https://unstats.un.org/unsd/energystats/data/
country/MDA,Moldova,2018,1000000,https://unstats.un.org/unsd/energystats/data/
country/MKD,Macedonia [FYROM],2018,22788000,https://unstats.un.org/unsd/energystats/data/
country/MLT,Malta,2019,203220000,https://unstats.un.org/unsd/energystats/data/
country/MNE,Montenegro,2019,2300000,https://unstats.un.org/unsd/energystats/data/
country/MTQ,Martinique,2016,82000000,https://unstats.un.org/unsd/energystats/data/
country/MYT,Mayotte,2016,16500000,https://unstats.un.org/unsd/energystats/data/
country/NLD,Netherlands,2018,3693000000,https://unstats.un.org/unsd/energystats/data/
country/POL,Poland,2018,300000000,https://unstats.un.org/unsd/energystats/data/
country/PRT,Portugal,2018,1006000000,https://unstats.un.org/unsd/energystats/data/
country/PYF,French Polynesia,2019,40000000,https://unstats.un.org/unsd/energystats/data/
country/REU,R̩union,2016,259500000,https://unstats.un.org/unsd/energystats/data/
country/ROU,Romania,2018,1771000000,https://unstats.un.org/unsd/energystats/data/
country/RUS,Russia,2018,719945000,https://unstats.un.org/unsd/energystats/data/
country/SHN,Saint Helena,2019,984000,https://unstats.un.org/unsd/energystats/data/
country/SRB,Serbia,2018,13000000,https://unstats.un.org/unsd/energystats/data/
country/SVK,Slovakia,2018,585000000,https://unstats.un.org/unsd/energystats/data/
country/SVN,Slovenia,2018,255000000,https://unstats.un.org/unsd/energystats/data/
country/SWE,Sweden,2018,407000000,https://unstats.un.org/unsd/energystats/data/
country/TCA,Turks and Caicos Islands,2019,2000000,https://unstats.un.org/unsd/energystats/data/
country/TUR,Turkey,2018,7800000000,https://unstats.un.org/unsd/energystats/data/
country/UKR,Ukraine,2018,1107000000,https://unstats.un.org/unsd/energystats/data/
country/WLF,Wallis and Futuna,2019,160000,https://unstats.un.org/unsd/energystats/data/
country/XKS,Kosovo,2019,10500000,https://unstats.un.org/unsd/energystats/data/
