placeDcid,placeName,Date:Annual_Capacity_Electricity_SolarPhotovoltaic_MainActivityProducer,Value:Annual_Capacity_Electricity_SolarPhotovoltaic_MainActivityProducer,Source:Annual_Capacity_Electricity_SolarPhotovoltaic_MainActivityProducer,Date:Annual_Generation_Electricity_SolarPhotovoltaic_MainActivityProducer,Value:Annual_Generation_Electricity_SolarPhotovoltaic_MainActivityProducer,Source:Annual_Generation_Electricity_SolarPhotovoltaic_MainActivityProducer
country/AUT,Austria,2013,626,https://unstats.un.org/unsd/energystats/data/,2018,1438000000,https://unstats.un.org/unsd/energystats/data/
country/AZE,Azerbaijan,2013,2,https://unstats.un.org/unsd/energystats/data/,2018,39300000,https://unstats.un.org/unsd/energystats/data/
country/BEL,Belgium,2009,11,https://unstats.un.org/unsd/energystats/data/,2018,5000000,https://unstats.un.org/unsd/energystats/data/
country/BGR,Bulgaria,2013,1036,https://unstats.un.org/unsd/energystats/data/,2018,1343000000,https://unstats.un.org/unsd/energystats/data/
country/BLR,Belarus,,,,2019,60000000,https://unstats.un.org/unsd/energystats/data/
country/CYP,Cyprus,2013,35,https://unstats.un.org/unsd/energystats/data/,2018,129000000,https://unstats.un.org/unsd/energystats/data/
country/CZE,Czech Republic,2013,2064,https://unstats.un.org/unsd/energystats/data/,2018,2359000000,https://unstats.un.org/unsd/energystats/data/
country/DEU,Germany,2013,36335,https://unstats.un.org/unsd/energystats/data/,2018,45784000000,https://unstats.un.org/unsd/energystats/data/
country/ESP,Spain,2013,4766,https://unstats.un.org/unsd/energystats/data/,2018,7841000000,https://unstats.un.org/unsd/energystats/data/
country/EST,Estonia,,,,2018,31000000,https://unstats.un.org/unsd/energystats/data/
country/FIN,Finland,,,,2018,3000000,https://unstats.un.org/unsd/energystats/data/
country/GBR,United Kingdom,,,,2018,3654000000,https://unstats.un.org/unsd/energystats/data/
country/GLP,Guadeloupe,2013,67,https://unstats.un.org/unsd/energystats/data/,2016,93800000,https://unstats.un.org/unsd/energystats/data/
country/GRC,Greece,2013,2579,https://unstats.un.org/unsd/energystats/data/,2018,3791000000,https://unstats.un.org/unsd/energystats/data/
country/GUF,French Guiana,2013,33,https://unstats.un.org/unsd/energystats/data/,2016,64000000,https://unstats.un.org/unsd/energystats/data/
country/HRV,Croatia,2013,19,https://unstats.un.org/unsd/energystats/data/,2018,75000000,https://unstats.un.org/unsd/energystats/data/
country/HUN,Hungary,,,,2018,66000000,https://unstats.un.org/unsd/energystats/data/
country/KAZ,Kazakhstan,,,,2018,115000000,https://unstats.un.org/unsd/energystats/data/
country/LIE,Liechtenstein,2009,1,https://unstats.un.org/unsd/energystats/data/,2019,26000000,https://unstats.un.org/unsd/energystats/data/
country/LTU,Lithuania,2013,68,https://unstats.un.org/unsd/energystats/data/,2018,87000000,https://unstats.un.org/unsd/energystats/data/
country/MDA,Moldova,,,,2018,1000000,https://unstats.un.org/unsd/energystats/data/
country/MKD,Macedonia [FYROM],2013,7,https://unstats.un.org/unsd/energystats/data/,2018,22788000,https://unstats.un.org/unsd/energystats/data/
country/MLT,Malta,2013,32,https://unstats.un.org/unsd/energystats/data/,2012,13000000,https://unstats.un.org/unsd/energystats/data/
country/MNE,Montenegro,,,,2019,2300000,https://unstats.un.org/unsd/energystats/data/
country/MTQ,Martinique,2013,62,https://unstats.un.org/unsd/energystats/data/,2016,82000000,https://unstats.un.org/unsd/energystats/data/
country/MYT,Mayotte,,,,2016,16500000,https://unstats.un.org/unsd/energystats/data/
country/NLD,Netherlands,2013,15,https://unstats.un.org/unsd/energystats/data/,2018,300000000,https://unstats.un.org/unsd/energystats/data/
country/PRT,Portugal,2013,143,https://unstats.un.org/unsd/energystats/data/,2018,515000000,https://unstats.un.org/unsd/energystats/data/
country/PYF,French Polynesia,2009,2.7,https://unstats.un.org/unsd/energystats/data/,2019,40000000,https://unstats.un.org/unsd/energystats/data/
country/REU,R̩union,,,,2016,259500000,https://unstats.un.org/unsd/energystats/data/
country/ROU,Romania,2013,761,https://unstats.un.org/unsd/energystats/data/,2018,1644000000,https://unstats.un.org/unsd/energystats/data/
country/RUS,Russia,,,,2018,719945000,https://unstats.un.org/unsd/energystats/data/
country/SHN,Saint Helena,2014,0.086,https://unstats.un.org/unsd/energystats/data/,2019,984000,https://unstats.un.org/unsd/energystats/data/
country/SRB,Serbia,,,,2018,13000000,https://unstats.un.org/unsd/energystats/data/
country/SVK,Slovakia,2013,124,https://unstats.un.org/unsd/energystats/data/,2018,194000000,https://unstats.un.org/unsd/energystats/data/
country/SVN,Slovenia,2013,6,https://unstats.un.org/unsd/energystats/data/,2018,7000000,https://unstats.un.org/unsd/energystats/data/
country/SWE,Sweden,2013,43,https://unstats.un.org/unsd/energystats/data/,2018,407000000,https://unstats.un.org/unsd/energystats/data/
country/TCA,Turks and Caicos Islands,,,,2019,2000000,https://unstats.un.org/unsd/energystats/data/
country/TUR,Turkey,,,,2018,6327000000,https://unstats.un.org/unsd/energystats/data/
country/UKR,Ukraine,2013,319,https://unstats.un.org/unsd/energystats/data/,2018,1099000000,https://unstats.un.org/unsd/energystats/data/
country/WLF,Wallis and Futuna,,,,2019,160000,https://unstats.un.org/unsd/energystats/data/
country/XKS,Kosovo,,,,2019,10500000,https://unstats.un.org/unsd/energystats/data/
